hotel,Rating,totalScore,Asp_0,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Asp_6,Asp_7,Asp_8,Asp_9,Asp_10,Asp_11,Asp_12,Asp_13,Asp_14,Asp_15,Asp_16,Asp_17,Asp_18,Asp_19
Norton House Hotel & Spa Edinburgh,4.5 , 0.10896836035010296,0.005450856453094559,0,0.002472276223172612,0.003915527369054576,0.0010653201974679407,0,0.03435680693092897,0,0,0.016281568125034337,0.011070647029744116,0,0.018997426159844743,0.0075684338589601195,0.01647871810705741,0,0.002847238247355539,0.006475939778642177,0,0.0035193001490152927
OYO 7135 Hotel Blue Sapphire,3.0 , 0.014046965929898198,0,0,0,0,0.0013569646902231339,0,0.0054253047566038045,0,0,0.0017645765461148603,0.006801454888389709,0,0.0010084369388979636,0,0.006118628166217314,0,0,0,0,0
Orange Tulip Hotel,2.0 , 0.045691388903859494,0.003248358298581505,0,0,0,0,0,0.018119541424226518,0,0,0,0.004817270889307997,0,0.011668727396287586,0,0.011620881794152898,0,0,0.0017238117787641625,0,0
Parisian Hotel & Suites,2.0 , 0.01216069854994168,0,0,0,0,0,0,0,0,0,0.0018659867951010681,0,0,0.0071691106133436044,0,0.003125601141497007,0,0,0,0,0
Phillips Club,4.5 , 0.053122424698992914,0.0030479314660994826,0,0.008823545553621078,0.00210988198089272,0.0006144764778228312,0,0.01947141053756268,0,0,0.0021015516603856543,0.013955018311948383,0,0.011461120965333086,0,0.009069509925508317,0.00015468008950473894,0,0,0.00021542790146593992,0.00023688967986463654
Red Carpet Inn Charlottesville,2.0 , 0.010147981357488393,0,0,0,0,0,0,0.007633569275524499,0,3.5539272883135366e-05,0,0.002815466225088713,0,0,0,0.002815466225088713,0,0.0024788728090807603,0,0,0
Residence Inn by Marriott Charlottesville Downtown,4.5 , 0.05348030889373139,0.0013449233989548145,0,0.0017596170616019694,0,0,0,0.023275362167702124,0,7.334759483806715e-05,0,0.0063301005274430805,0,0.0015008532127113426,0.011628398135325877,0.02495228525602852,0,0.003210808730619943,0,0,0
Residence Inn by Marriott Edinburgh,4.5 , 0.131332896405389,0.015442821194584108,0,0.008900986183893789,0.004490053153563261,0.001057145254794858,0,0.045095894788537844,0,0.00022412275561437694,0.005142264963711667,0.01031566819249967,0,0.024035049201836533,0.011542897645559156,0.02607623620567128,0,0.0028836619429567743,0.004232746888278289,0.001018430026768468,0.0014500109578677385
Rose Court Hotel,2.5 , 0.05286221702354558,0.002196966641501641,0,0,0.0012427096771348374,0,0,0.021977847771700115,0,0,0,0.008030166939281186,0,0.010311024255168565,0.004540692397896001,0.01988049600867584,0,0,0,0,0
Scandia Lodge,3.0 , 0.03828323032119363,0.004982589968368013,0,0,0,0,0,0.01196800927844777,0,0,0,0.015655144315216182,0,0.007324896738993719,0,0.010684957739961776,0,0,0,0,0.0066210608687337
